SN,PN,DATANAME,DATA
RB234037,1259372,iRatio0-416,12938
RB234037,1259372,iRatio0-440,13095
RB234037,1259372,iRatio0-464,13250
RB234037,1259372,iRatio0-488,13399
RB234037,1259372,iRatio0-512,13548
RB234037,1259372,iRatio0-536,13697
RB234037,1259372,iRatio0-56,10920
RB234037,1259372,iRatio0-560,13845
RB234037,1259372,iRatio0-584,13993
RB234037,1259372,iRatio0-608,14130
RB234037,1259372,iRatio0-632,14267
RB234037,1259372,iRatio0-656,14378
RB234037,1259372,iRatio0-680,14437
RB234037,1259372,iRatio0-704,14496
RB234037,1259372,iRatio0-728,14637
RB234037,1259372,iRatio0-752,14820
RB234037,1259372,iRatio0-776,15003
RB234037,1259372,iRatio0-8,10725
RB234037,1259372,iRatio0-80,11035
RB234037,1259372,iRatio0-800,15098
RB234038,1259372,iRatio0-104,10552
RB234038,1259372,iRatio0-128,10744
RB234038,1259372,iRatio0-152,11021
RB234038,1259372,iRatio0-176,11341
RB234038,1259372,iRatio0-200,11661
RB234038,1259372,iRatio0-224,11731
RB234038,1259372,iRatio0-248,11800
RB234038,1259372,iRatio0-272,11951
RB234038,1259372,iRatio0-296,12261
RB234038,1259372,iRatio0-32,10192
RB234038,1259372,iRatio0-320,12571
RB234038,1259372,iRatio0-344,12727
RB234038,1259372,iRatio0-368,12803
RB234038,1259372,iRatio0-392,12881
RB234038,1259372,iRatio0-416,13173
RB234038,1259372,iRatio0-440,13466
RB234038,1259372,iRatio0-464,13693
RB234038,1259372,iRatio0-488,13788
RB234038,1259372,iRatio0-512,13884
RB234038,1259372,iRatio0-536,14060
RB234038,1259372,iRatio0-56,10254
RB234038,1259372,iRatio0-560,14278
RB234038,1259372,iRatio0-584,14496
RB234038,1259372,iRatio0-608,14665
RB234038,1259372,iRatio0-632,14834
RB234038,1259372,iRatio0-656,14972
RB234038,1259372,iRatio0-680,15047
RB234038,1259372,iRatio0-704,15122
RB234038,1259372,iRatio0-728,15301
RB234038,1259372,iRatio0-752,15530
RB234038,1259372,iRatio0-776,15760
RB234038,1259372,iRatio0-8,10130
RB234038,1259372,iRatio0-80,10360
RB234038,1259372,iRatio0-800,15670
RB234041,1259372,iRatio0-104,11043
RB234041,1259372,iRatio0-128,11242
RB234041,1259372,iRatio0-152,11446
RB234041,1259372,iRatio0-176,11648
RB234041,1259372,iRatio0-200,11850
RB234041,1259372,iRatio0-224,11889
RB234041,1259372,iRatio0-248,11934
RB234041,1259372,iRatio0-272,12024
RB234041,1259372,iRatio0-296,12210
RB234041,1259372,iRatio0-32,10518
RB234041,1259372,iRatio0-320,12400
RB234041,1259372,iRatio0-344,12490
RB234041,1259372,iRatio0-368,12528
RB234041,1259372,iRatio0-392,12568
RB234041,1259372,iRatio0-416,12792
RB234041,1259372,iRatio0-440,13012
RB234041,1259372,iRatio0-464,13198
RB234041,1259372,iRatio0-488,13310
RB234041,1259372,iRatio0-512,13422
RB234041,1259372,iRatio0-536,13550
RB234041,1259372,iRatio0-56,10671
RB234041,1259372,iRatio0-560,13689
RB234041,1259372,iRatio0-584,13828
RB234041,1259372,iRatio0-608,13940
RB234041,1259372,iRatio0-632,14055
RB234041,1259372,iRatio0-656,14209
RB234041,1259372,iRatio0-680,14442
RB234041,1259372,iRatio0-704,14672
RB234041,1259372,iRatio0-728,14782
RB234041,1259372,iRatio0-752,14826
RB234041,1259372,iRatio0-776,14870
RB234041,1259372,iRatio0-8,10364
RB234041,1259372,iRatio0-80,10842
RB234041,1259372,iRatio0-800,15006
RB234795,1259372,iRatio0-104,11669
RB234795,1259372,iRatio0-128,11774
RB234795,1259372,iRatio0-152,11861
RB234795,1259372,iRatio0-176,11939
RB234795,1259372,iRatio0-200,12017
RB234795,1259372,iRatio0-224,12139
RB234795,1259372,iRatio0-248,12260
RB234795,1259372,iRatio0-272,12378
RB234795,1259372,iRatio0-296,12486
RB234795,1259372,iRatio0-32,11512
RB234795,1259372,iRatio0-320,12594
RB234795,1259372,iRatio0-344,12611
RB234795,1259372,iRatio0-368,12583
RB234795,1259372,iRatio0-392,12555
RB234795,1259372,iRatio0-416,12642
